Topics,Alpha,Beta,Coherence
25,asymmetric,symmetric,0.2978243833792147
30,0.01,0.01,0.26788292037331124
30,0.01,0.31,0.5036100341950802
30,0.01,0.61,0.5589277902353534
30,0.01,0.9099999999999999,0.609002791955453
30,0.01,symmetric,0.2754271095054959
30,0.31,0.01,0.2836110702083594
30,0.31,0.31,0.5491766414084757
30,0.31,0.61,0.5413785021341598
30,0.31,0.9099999999999999,0.5479710055232853
30,0.31,symmetric,0.2814949197826511
30,0.61,0.01,0.3019189318769857
30,0.61,0.31,0.5925450787463211
30,0.61,0.61,0.4461565162681373
30,0.61,0.9099999999999999,0.29157030485344254
30,0.61,symmetric,0.31898338288503825
30,0.9099999999999999,0.01,0.30375698582862476
30,0.9099999999999999,0.31,0.600214033455456
30,0.9099999999999999,0.61,0.32182486121693454
30,0.9099999999999999,0.9099999999999999,0.562256863766262
30,0.9099999999999999,symmetric,0.30349037662181677
30,symmetric,0.01,0.2814250342178637
30,symmetric,0.31,0.5133916597902277
30,symmetric,0.61,0.5470447701723287
30,symmetric,0.9099999999999999,0.608326547501741
30,symmetric,symmetric,0.27796517867435233
30,asymmetric,0.01,0.2918665208566048
30,asymmetric,0.31,0.5525722779433386
30,asymmetric,0.61,0.5641231340795366
30,asymmetric,0.9099999999999999,0.6349558946842343
30,asymmetric,symmetric,0.28408354805759356
35,0.01,0.01,0.27950911452835403
35,0.01,0.31,0.4596245624969
35,0.01,0.61,0.5779226794955279
35,0.01,0.9099999999999999,0.6558435809473556
35,0.01,symmetric,0.2779185434857206
35,0.31,0.01,0.2710332812829164
35,0.31,0.31,0.5421853581426433
35,0.31,0.61,0.54269087363701
35,0.31,0.9099999999999999,0.5799442998863916
35,0.31,symmetric,0.2738516639714677
35,0.61,0.01,0.30852108666537664
35,0.61,0.31,0.5000493406575921
35,0.61,0.61,0.7570750248490649
35,0.61,0.9099999999999999,0.45305463211693736
35,0.61,symmetric,0.36135419253897916
35,0.9099999999999999,0.01,0.2861102469038794
35,0.9099999999999999,0.31,0.4593460945089959
35,0.9099999999999999,0.61,0.5477167246626832
35,0.9099999999999999,0.9099999999999999,0.5363811926283445
35,0.9099999999999999,symmetric,0.2992036749789501
35,symmetric,0.01,0.26920360819289546
35,symmetric,0.31,0.4589607962931093
35,symmetric,0.61,0.5980444684365925
35,symmetric,0.9099999999999999,0.657758595616556
35,symmetric,symmetric,0.2726848932046124
35,asymmetric,0.01,0.2695893772407608
35,asymmetric,0.31,0.4506137321454711
35,asymmetric,0.61,0.5973498436501993
35,asymmetric,0.9099999999999999,0.6088780213074986
35,asymmetric,symmetric,0.27014073275900086
40,0.01,0.01,0.28729899050707086
40,0.01,0.31,0.5411742366388711
40,0.01,0.61,0.6378072528053533
40,0.01,0.9099999999999999,0.6512257893257525
40,0.01,symmetric,0.2935007858315504
40,0.31,0.01,0.29053490485798383
40,0.31,0.31,0.5351475158915846
40,0.31,0.61,0.5352342614166508
40,0.31,0.9099999999999999,0.5203794002354682
40,0.31,symmetric,0.29128532983817645
40,0.61,0.01,0.28629287463879355
40,0.61,0.31,0.5003523818637106
40,0.61,0.61,0.3469160788993464
40,0.61,0.9099999999999999,0.5065320698641707
40,0.61,symmetric,0.2934434270974598
40,0.9099999999999999,0.01,0.2891313810467665
40,0.9099999999999999,0.31,0.5077920647227663
40,0.9099999999999999,0.61,0.566516088153856
40,0.9099999999999999,0.9099999999999999,0.5262188564592376
40,0.9099999999999999,symmetric,0.29271805127288425
40,symmetric,0.01,0.2873904143254985
40,symmetric,0.31,0.5406751849633213
40,symmetric,0.61,0.6175314768886194
40,symmetric,0.9099999999999999,0.6339903837867542
40,symmetric,symmetric,0.2896801399603147
40,asymmetric,0.01,0.28272588276969973
40,asymmetric,0.31,0.46751632954683287
40,asymmetric,0.61,0.5937066513536033
40,asymmetric,0.9099999999999999,0.6204999685894794
40,asymmetric,symmetric,0.2809430502181177
45,0.01,0.01,0.31145372341844263
45,0.01,0.31,0.4893163524234465
45,0.01,0.61,0.5503147419163363
45,0.01,0.9099999999999999,0.5678697215693796
45,0.01,symmetric,0.32482553326628244
45,0.31,0.01,0.25895109288735146
45,0.31,0.31,0.5692708396896753
45,0.31,0.61,0.5643702427131602
45,0.31,0.9099999999999999,0.4100152910734965
45,0.31,symmetric,0.25268967020087085
45,0.61,0.01,0.2874906255677517
45,0.61,0.31,0.5565854500604785
45,0.61,0.61,0.48524717328990613
45,0.61,0.9099999999999999,0.47134997126280276
45,0.61,symmetric,0.30573626161114426
45,0.9099999999999999,0.01,0.28898323791206504
45,0.9099999999999999,0.31,0.4852254566908724
45,0.9099999999999999,0.61,0.5750747862954781
45,0.9099999999999999,0.9099999999999999,0.45520396838184385
45,0.9099999999999999,symmetric,0.28510826953254187
45,symmetric,0.01,0.3081700678062188
45,symmetric,0.31,0.5140661562208383
45,symmetric,0.61,0.5415861971639286
45,symmetric,0.9099999999999999,0.5693209287055196
45,symmetric,symmetric,0.3144820279012184
45,asymmetric,0.01,0.30542002580093425
45,asymmetric,0.31,0.5110195628122187
45,asymmetric,0.61,0.5847051272416272
45,asymmetric,0.9099999999999999,0.6028676439656127
45,asymmetric,symmetric,0.3077875255686267
